"shapeid","osm_id","name","ref","type","oneway","bridge","maxspeed"
"114","144381192","Avinguda Fiter i Rossell","CG-3","primary","1","0","NULL"
"115","144382952","Avinguda Meritxell","NULL","primary","1","0","NULL"
"116","144382955","Avinguda Meritxell","NULL","pedestrian","0","0","NULL"
"117","144428483","Carrer Ciutat de Valls","NULL","residential","1","0","NULL"
"118","144428485","Carrer Ciutat de Valls","NULL","residential","1","0","NULL"
"119","152371742","Carrer Sant Salvador","NULL","residential","1","0","50"
"120","173167048","Passatge Manel Cerqueda Escaler","NULL","residential","1","1","NULL"
"121","173167049","Avinguda Fiter i Rossell","CG-3","primary","1","1","NULL"
"122","173167050","Carre Esteve Albert","NULL","primary","1","0","NULL"
"123","173167051","Avinguda Esteve Albert","NULL","primary","1","0","NULL"
"124","173167052","Avinguda Fiter i Rossell","CG-3","primary","1","0","NULL"
"125","173167053","Passeig Manel Cerqueda Escaler","NULL","residential","1","0","NULL"
"126","173167054","Carrer de Josep Viladomat","NULL","primary","1","1","NULL"
"127","173167055","Carrer de Josep Viladomat","NULL","primary","1","1","NULL"
"128","173167056","Carrer Josep Viladomat","NULL","primary","0","0","NULL"
"129","173167057","Carrer de Josep Viladomat","NULL","primary","1","1","NULL"
"130","173167058","Vial de la Unio","CG-3i4","primary","0","0","NULL"
"131","173167059","Avinguda del Pessebre","NULL","primary","1","0","NULL"
"132","173167060","Passatge Manel Cerqueda Escaler","NULL","residential","1","0","NULL"
"133","173167061","Carre Esteve Albert","NULL","primary","1","0","NULL"
"134","173167308","Avinguda Prat de la Creu","CG3a","primary","0","0","50"
"135","175417665","CG3","CG3","primary","0","0","NULL"
"136","175417667","Avinguda Fiter i Rossell","NULL","primary","0","0","NULL"
"137","176491869","Avinguda de Salou","CG-1","primary","0","0","50"
"138","176492461","Baixada del Moli","NULL","primary","1","1","50"
"139","176492464","Baixada del Moli","NULL","primary","1","0","NULL"
"140","176493159","Carrer Doctor Vilanova","NULL","primary","0","0","50"
"141","176493160","Carrer Doctor Vilanova","NULL","primary","0","0","NULL"
"142","176688496","Carrer Josep Viladomat","NULL","primary","1","0","NULL"
"143","176688497","Carrer de Josep Viladomat","NULL","primary","1","0","50"
"144","176692956","Carrer Dr. Vilanova","NULL","primary","0","0","50"
"145","176693323","Carrer Dr. Vilanova","NULL","primary","0","0","50"
"146","176693324","Carrer Dr. Vilanova","NULL","primary","0","0","50"
"147","181919631","Carrer Roureda de Sansa","NULL","residential","1","0","NULL"
"148","181919639","Carrer Prada Motxilla","NULL","residential","0","0","NULL"
"149","181919642","Carrer Bonavista","NULL","residential","0","0","NULL"
"150","181919645","Antic Cami Ral","NULL","residential","1","0","NULL"
"151","181919649","Antic Cami Ral","NULL","residential","0","1","NULL"
"152","181919653","Antic Cami Ral","NULL","residential","0","0","NULL"
"153","184959611","La Dama de Gel","NULL","primary","1","0","50"
"154","184959613","Carrer de la Unio","NULL","primary","1","0","NULL"
"155","184959614","Avinguda Esteve Albert","NULL","primary","1","0","NULL"
"156","191582650","Avinguda Meritxell","NULL","pedestrian","0","0","NULL"
"157","191582651","Avinguda Meritxell","NULL","pedestrian","0","1","NULL"
"158","191582653","Carrer Fiter i Rossell","NULL","residential","0","0","50"
"159","191582657","Avinguda Meritxell","NULL","primary","0","0","NULL"
"160","191582658","Carrer Coprincep Francois Miterrand","NULL","residential","0","0","NULL"
"161","191582659","Rambla Molines","NULL","footway","0","0","NULL"
