olat,olon,dlat,dlon,amount,,
42.51694444,1.554166667,42.53194444,1.562777778,1,,
42.51694444,1.554166667,42.51694444,1.554166667,4,,
42.56805556,1.600277778,42.56888889,1.585555556,1,,
42.57916667,1.639166667,42.56805556,1.600277778,1,,
42.57916667,1.639166667,42.54666667,1.563611111,1,,
42.57777778,1.6625,42.54666667,1.563611111,2,,
42.535,1.5875,42.535,1.5875,4,,
42.535,1.5875,42.535,1.5875,2,,
42.535,1.5875,42.535,1.5875,1,,
42.535,1.5875,42.535,1.5875,3,,
42.53194444,1.562777778,42.53444444,1.58,1,,
42.53194444,1.562777778,42.53194444,1.562777778,1,,
42.54666667,1.563611111,42.54666667,1.563611111,5,,
42.50833333,1.523611111,42.53444444,1.58,1,,
